year,people
1950,550771433
1951,566170868
1952,578489714
1953,589018891
1954,598746873
1955,608359685
1956,618226224
1957,628412938
1958,638727882
1959,648794141
1960,658270094
1961,667084365
1962,675641408
1963,684909607
1964,696171650
1965,710290299
1966,727601056
1967,747678772
1968,769666505
1969,792308749
1970,814622841
1971,836431505
1972,857804035
1973,878305091
1974,897479153
1975,915040954
1976,930744699
1977,944726607
1978,957584105
1979,970179212
1980,983170638
1981,996667562
1982,1010574797
1983,1025090475
1984,1040397958
1985,1056579219
1986,1073792041
1987,1091904967
1988,1110339206
1989,1128297564
1990,1145195229
1991,1160799514
1992,1175230312
1993,1188687527
1994,1201522570
1995,1213986610
1996,1226134423
1997,1237849861
1998,1249020152
1999,1259476966
2000,1269116737
2001,1277903627
2002,1285933789
2003,1293396654
2004,1300552134
2005,1307593489
2006,1314581402
2007,1321481935
2008,1328275524
2009,1334908820
2010,1341335152